PK,Product,Quantity,yymm
520,B627,32,202009
521,B694,322,202009
522,B716,67,202009
523,B717,0,202009
524,B725,0,202009
525,B729,451,202009
526,B739,0,202009
527,B740,0,202009
528,B741,0,202009
529,B742,0,202009
530,B743,0,202009
531,B744,0,202009
532,B745,95,202009
533,B746,0,202009
534,B749,3,202009
535,B750,25,202009
536,B752,74,202009
537,B753,35,202009
538,B765,0,202009
539,B766,0,202009
540,B777,591,202009
541,B778,0,202009
542,B779,0,202009
543,B780,0,202009
544,B781,0,202009
545,B782,0,202009
546,B783,0,202009
547,B784,0,202009
548,B785,473,202009
549,B786,0,202009
550,B787,0,202009
551,B788,0,202009
552,B789,0,202009
553,B790,0,202009
554,B791,0,202009
555,B792,0,202009
556,B793,0,202009
557,B794,0,202009
558,B795,197,202009
559,B796,0,202009
560,B797,0,202009
561,B798,0,202009
562,B799,0,202009
563,B800,0,202009
564,B801,0,202009
565,B802,0,202009
566,B806,14,202009
567,B807,0,202009
568,B808,0,202009
569,B809,0,202009
570,B810,0,202009
571,B811,0,202009
572,B812,0,202009
573,B813,0,202009
574,B814,0,202009
575,B815,0,202009
576,B816,0,202009
577,B817,0,202009
578,B818,0,202009
579,B819,0,202009
580,B820,0,202009
581,B821,0,202009
582,B822,0,202009
583,B823,0,202009
584,B824,0,202009
585,B825,9,202009
586,B826,0,202009
587,B827,0,202009
588,B828,0,202009
589,B829,0,202009
590,B830,0,202009
591,B831,0,202009
592,B832,0,202009
593,B833,0,202009
594,B834,0,202009
595,B835,256,202009
596,B836,25,202009
597,B837,0,202009
598,B838,0,202009
599,B844,0,202009
600,B845,0,202009
601,B846,0,202009
602,B849,47,202009
603,B850,0,202009
604,B851,0,202009
605,B918,0,202009
606,B919,0,202009
607,B920,0,202009
608,B924,0,202009
609,B925,0,202009
610,B928,506,202009
611,B930,0,202009
612,B931,0,202009
613,B933,0,202009
614,B934,0,202009
615,B935,0,202009
616,B936,0,202009
617,B937,0,202009
618,B938,0,202009
619,B939,0,202009
620,B940,0,202009
621,B941,0,202009
622,B942,0,202009
623,B943,0,202009
624,B944,0,202009
625,B945,0,202009
626,B946,57,202009
627,B950,0,202009
628,B952,0,202009
629,B953,0,202009
630,B954,0,202009
631,B956,0,202009
632,B957,0,202009
633,B960,0,202009
634,B961,0,202009
635,B962,0,202009
636,B963,262,202009
637,B964,0,202009
638,B965,0,202009
639,B966,0,202009
640,B967,0,202009
641,B968,0,202009
642,B969,0,202009
643,B970,0,202009
644,B971,0,202009
645,B972,0,202009
646,B973,0,202009
647,B974,0,202009
648,B975,0,202009
649,B976,3804,202009
650,B977,0,202009
651,B979,0,202009
652,B980,0,202009
653,B981,0,202009
654,B982,0,202009
655,B983,140,202009
656,B984,0,202009
657,B985,0,202009
658,B986,0,202009
659,B987,23,202009
660,B988,23,202009
661,B989,261,202009
662,B990,0,202009
663,B992,0,202009
664,B993,0,202009
665,B994,371,202009
666,B995,0,202009
667,B996,0,202009
668,B997,0,202009
669,B998,0,202009
670,B999,0,202009
671,B1000,0,202009
672,B1002,0,202009
673,B1003,0,202009
674,B1004,0,202009
675,B1005,0,202009
676,B1006,0,202009
677,B1007,371,202009
678,B1008,0,202009
679,B1009,0,202009
680,B1010,0,202009
681,B1011,0,202009
682,B1012,278,202009
683,B1013,0,202009
684,B1014,2159,202009
685,B1015,0,202009
686,B1016,0,202009
687,B1017,0,202009
688,B1018,199,202009
689,B1019,0,202009
690,B1020,0,202009
691,B1021,0,202009
692,B1022,0,202009
693,B1023,0,202009
694,B1024,0,202009
695,B1025,0,202009
696,B1026,0,202009
697,B1027,0,202009
698,B1028,0,202009
699,B1029,0,202009
700,B1030,0,202009
701,B1031,0,202009
702,B1032,0,202009
703,B1033,1600,202009
704,B1034,0,202009
705,B1035,0,202009
706,B1036,0,202009
707,B1037,0,202009
708,B1038,0,202009
709,B1039,0,202009
710,B1040,0,202009
711,B1041,0,202009
712,B1042,0,202009
713,B1043,0,202009
714,B1044,0,202009
715,B1045,0,202009
716,B1046,0,202009
717,B1047,0,202009
718,B1048,0,202009
719,B1049,0,202009
720,B1050,0,202009
721,B1051,0,202009
722,B1052,0,202009
723,B1053,0,202009
724,B1054,0,202009
725,B1055,0,202009
726,B1056,0,202009
727,B3,0,202010
728,B4,0,202010
729,B5,0,202010
730,B6,0,202010
731,B7,0,202010
732,B8,0,202010
733,B9,0,202010
734,B10,0,202010
735,B11,0,202010
736,B12,0,202010
737,B13,0,202010
738,B14,0,202010
739,B15,0,202010
740,B16,0,202010
741,B17,0,202010
742,B18,0,202010
743,B19,0,202010
744,B20,0,202010
745,B25,0,202010
746,B27,0,202010
747,B30,0,202010
748,B54,21,202010
749,B60,69,202010
750,B63,122,202010
751,B64,5,202010
752,B65,35,202010
753,B66,18,202010
754,B67,0,202010
755,B69,51,202010
756,B70,84,202010
757,B71,20,202010
758,B72,200,202010
759,B73,17,202010
760,B74,0,202010
761,B75,2,202010
762,B76,0,202010
763,B77,78,202010
764,B78,0,202010
765,B81,0,202010
766,B83,3,202010
767,B85,83,202010
768,B86,0,202010
769,B88,0,202010
770,B89,0,202010
771,B90,0,202010
772,B91,0,202010
773,B92,0,202010
774,B93,0,202010
775,B94,114,202010
776,B95,0,202010
777,B96,0,202010
778,B97,0,202010
779,B98,221,202010
780,B99,26,202010
781,B100,0,202010
782,B101,0,202010
783,B102,0,202010
784,B103,71,202010
785,B104,0,202010
786,B105,0,202010
787,B106,0,202010
788,B107,0,202010
789,B108,0,202010
790,B113,0,202010
791,B114,64,202010
792,B115,0,202010
793,B116,0,202010
794,B117,0,202010
795,B118,0,202010
796,B119,61,202010
797,B120,0,202010
798,B121,0,202010
799,B122,0,202010
800,B123,0,202010
801,B124,0,202010
802,B125,0,202010
803,B126,0,202010
804,B127,0,202010
805,B128,0,202010
806,B129,0,202010
807,B130,0,202010
808,B131,0,202010
809,B132,0,202010
810,B133,0,202010
811,B134,0,202010
812,B135,0,202010
813,B136,0,202010
814,B137,71,202010
815,B138,0,202010
816,B139,286,202010
817,B140,0,202010
818,B141,0,202010
819,B142,139,202010
820,B143,27,202010
821,B146,0,202010
822,B147,56,202010
823,B152,482,202010
824,B153,97,202010
825,B154,0,202010
826,B155,0,202010
827,B156,25,202010
828,B157,0,202010
829,B158,84,202010
830,B159,263,202010
831,B160,0,202010
832,B161,0,202010
833,B162,0,202010
834,B163,0,202010
835,B164,0,202010
836,B165,0,202010
837,B166,0,202010
838,B167,0,202010
839,B168,62,202010
840,B169,0,202010
841,B170,0,202010
842,B171,0,202010
843,B172,0,202010
844,B173,0,202010
845,B174,0,202010
846,B175,0,202010
847,B176,0,202010
848,B177,0,202010
849,B178,43,202010
850,B179,0,202010
851,B180,83,202010
852,B182,0,202010
853,B185,159,202010
854,B186,28,202010
855,B188,81,202010
856,B189,0,202010
857,B190,42,202010
858,B195,125,202010
859,B198,26,202010
860,B199,13,202010
861,B208,791,202010
862,B225,188,202010
863,B254,131,202010
864,B256,10,202010
865,B266,83,202010
866,B267,42,202010
867,B275,191,202010
868,B283,0,202010
869,B288,0,202010
870,B296,173,202010
871,B388,227,202010
872,B390,79,202010
873,B432,22,202010
874,B453,0,202010
875,B462,169,202010
876,B469,13,202010
877,B471,255,202010
878,B478,127,202010
879,B479,82,202010
880,B488,0,202010
881,B490,0,202010
882,B626,172,202010
883,B627,23,202010
884,B694,157,202010
885,B716,61,202010
886,B717,0,202010
887,B725,0,202010
888,B729,128,202010
889,B739,0,202010
890,B740,0,202010
891,B741,0,202010
892,B742,0,202010
893,B743,0,202010
894,B744,0,202010
895,B745,138,202010
896,B746,0,202010
897,B749,0,202010
898,B750,12,202010
899,B752,16,202010
900,B753,36,202010
901,B765,0,202010
902,B766,103,202010
903,B777,186,202010
904,B778,0,202010
905,B779,0,202010
906,B780,0,202010
907,B781,0,202010
908,B782,0,202010
909,B783,0,202010
910,B784,0,202010
911,B785,245,202010
912,B786,0,202010
913,B787,0,202010
914,B788,149,202010
915,B789,0,202010
916,B790,0,202010
917,B791,0,202010
918,B792,0,202010
919,B793,0,202010
920,B794,0,202010
921,B795,16,202010
922,B796,0,202010
923,B797,0,202010
924,B798,0,202010
925,B799,0,202010
926,B800,0,202010
927,B801,0,202010
928,B802,0,202010
929,B806,11,202010
930,B807,0,202010
931,B808,0,202010
932,B809,0,202010
933,B810,0,202010
934,B811,0,202010
935,B812,0,202010
936,B813,0,202010
937,B814,121,202010
938,B815,0,202010
939,B816,0,202010
940,B817,0,202010
941,B818,0,202010
942,B819,0,202010
943,B820,0,202010
944,B821,0,202010
945,B822,0,202010
946,B823,0,202010
947,B824,0,202010
948,B825,131,202010
949,B826,0,202010
950,B827,0,202010
951,B828,0,202010
952,B829,0,202010
953,B830,0,202010
954,B831,0,202010
955,B832,0,202010
956,B833,0,202010
957,B834,0,202010
958,B835,170,202010
959,B836,51,202010
960,B837,0,202010
961,B838,0,202010
962,B844,0,202010
963,B845,0,202010
964,B846,0,202010
965,B849,36,202010
966,B850,0,202010
967,B851,0,202010
968,B918,0,202010
969,B919,0,202010
970,B920,0,202010
971,B924,0,202010
972,B925,0,202010
973,B928,274,202010
974,B930,0,202010
975,B931,0,202010
976,B933,0,202010
977,B934,0,202010
978,B935,0,202010
979,B936,0,202010
980,B937,0,202010
981,B938,0,202010
982,B939,0,202010
983,B940,0,202010
984,B941,0,202010
985,B942,0,202010
986,B943,0,202010
987,B944,0,202010
988,B945,0,202010
989,B946,153,202010
990,B950,0,202010
991,B952,0,202010
992,B953,0,202010
993,B954,0,202010
994,B956,0,202010
995,B957,0,202010
996,B960,0,202010
997,B961,0,202010
998,B962,0,202010
999,B963,137,202010
1000,B964,0,202010
1001,B965,0,202010
1002,B966,0,202010
1003,B967,0,202010
1004,B968,0,202010
1005,B969,0,202010
1006,B970,0,202010
1007,B971,0,202010
1008,B972,0,202010
1009,B973,0,202010
1010,B974,0,202010
1011,B975,0,202010
1012,B976,0,202010
1013,B977,0,202010
1014,B979,0,202010
1015,B980,0,202010
1016,B981,0,202010
1017,B982,0,202010
1018,B983,519,202010
1019,B984,0,202010
1020,B985,0,202010
1021,B986,0,202010
1022,B987,169,202010
1023,B988,162,202010
1024,B989,1,202010
1025,B990,0,202010
1026,B992,0,202010
1027,B993,0,202010
1028,B994,133,202010
1029,B995,0,202010
1030,B996,0,202010
1031,B997,0,202010
1032,B998,0,202010
1033,B999,0,202010
1034,B1000,0,202010
1035,B1002,0,202010
